FIPS,state,percapita,population,total_liabilities,revenue,lib_rev_ratio,name,state_abv
1001,Alabama,283.91,55347,15713834,19669534,79.89,Autauga County,AL
1003,Alabama,0,203709,0,0,null,Baldwin County,AL
1005,Alabama,0,26489,0,0,null,Barbour County,AL
1007,Alabama,0,22583,0,0,null,Bibb County,AL
1009,Alabama,245.4,57673,14152777,28109252,50.35,Blount County,AL
1011,Alabama,0,10696,0,0,null,Bullock County,AL
1013,Alabama,0,20154,0,0,null,Butler County,AL
1015,Alabama,277.68,115620,32105145,270774455,11.86,Calhoun County,AL
1017,Alabama,0,34123,0,0,null,Chambers County,AL
1019,Alabama,665.25,25859,17202575,17060129,100.83,Cherokee County,AL
1021,Alabama,0,43943,0,0,null,Chilton County,AL
1023,Alabama,0,13170,0,0,null,Choctaw County,AL
1025,Alabama,0,24675,0,0,null,Clarke County,AL
1027,Alabama,0,13555,0,0,null,Clay County,AL
1029,Alabama,101.8,15018,1528791,46587990,3.28,Cleburne County,AL
1031,Alabama,0,51211,0,0,null,Coffee County,AL
1033,Alabama,0,54354,0,0,null,Colbert County,AL
1035,Alabama,0,12672,0,0,null,Conecuh County,AL
1037,Alabama,0,10724,0,0,null,Coosa County,AL
1039,Alabama,0,37835,0,0,null,Covington County,AL
1041,Alabama,0,13963,0,0,null,Crenshaw County,AL
1043,Alabama,0,82005,0,0,null,Cullman County,AL
1045,Alabama,0,49565,0,0,null,Dale County,AL
1047,Alabama,0,41131,0,0,null,Dallas County,AL
1049,Alabama,0,71130,0,0,null,DeKalb County,AL
1051,Alabama,0,81468,0,0,null,Elmore County,AL
1053,Alabama,0,37789,0,0,null,Escambia County,AL
1055,Alabama,530.54,103057,54675376,47501856,115.1,Etowah County,AL
1057,Alabama,0,16759,0,0,null,Fayette County,AL
1059,Alabama,0,31696,0,0,null,Franklin County,AL
1061,Alabama,0,26777,0,0,null,Geneva County,AL
1063,Alabama,0,8479,0,0,null,Greene County,AL
1065,Alabama,0,15068,0,0,null,Hale County,AL
1067,Alabama,0,17221,0,0,null,Henry County,AL
1069,Alabama,0,104173,0,0,null,Houston County,AL
1071,Alabama,0,52419,0,0,null,Jackson County,AL
1073,Alabama,4491.05,660367,2965742000,789214000,375.78,Jefferson County,AL
1075,Alabama,0,13886,0,0,null,Lamar County,AL
1077,Alabama,0,92596,0,0,null,Lauderdale County,AL
1079,Alabama,0,33115,0,0,null,Lawrence County,AL
1081,Alabama,0,156993,0,0,null,Lee County,AL
1083,Alabama,0,91663,0,0,null,Limestone County,AL
1085,Alabama,0,10458,0,0,null,Lowndes County,AL
1087,Alabama,0,19105,0,0,null,Macon County,AL
1089,Alabama,0,353089,0,0,null,Madison County,AL
1091,Alabama,1373.68,20028,27512039,11167240,246.36,Marengo County,AL
1093,Alabama,0,30168,0,0,null,Marion County,AL
1095,Alabama,0,94725,0,0,null,Marshall County,AL
1097,Alabama,773.18,415395,321176640,251349614,127.78,Mobile County,AL
1099,Alabama,0,21673,0,0,null,Monroe County,AL
1101,Alabama,0,226519,0,0,null,Montgomery County,AL
1103,Alabama,0,119565,0,0,null,Morgan County,AL
1105,Alabama,0,9652,0,0,null,Perry County,AL
1107,Alabama,0,20864,0,0,null,Pickens County,AL
1109,Alabama,0,33046,0,0,null,Pike County,AL
1111,Alabama,0,22696,0,0,null,Randolph County,AL
1113,Alabama,0,59660,0,0,null,Russell County,AL
1115,Alabama,0,87074,0,0,null,St. Clair County,AL
1117,Alabama,641.13,208713,133812337,1369662125,9.77,Shelby County,AL
1119,Alabama,0,13103,0,0,null,Sumter County,AL
1121,Alabama,545.13,80862,44080242,34664270,127.16,Talladega County,AL
1123,Alabama,260.27,40844,10630581,17774092,59.81,Tallapoosa County,AL
1125,Alabama,0,203976,0,0,null,Tuscaloosa County,AL
1127,Alabama,0,65294,0,0,null,Walker County,AL
1129,Alabama,838.75,16804,14094423,14229284,99.05,Washington County,AL
1131,Alabama,0,11059,0,0,null,Wilcox County,AL
1133,Alabama,0,23877,0,0,null,Winston County,AL
2013,Alaska,0,3341,0,0,null,Aleutians East Borough,AK
2016,Alaska,null,null,0,0,null,Aleutians West Census Area,AK
2020,Alaska,null,null,0,0,null,Anchorage Municipality,AK
2050,Alaska,null,null,0,0,null,Bethel Census Area,AK
2060,Alaska,0,892,0,0,null,Bristol Bay Borough,AK
2068,Alaska,0,1919,0,0,null,Denali Borough,AK
2070,Alaska,null,null,0,0,null,Dillingham Census Area,AK
2090,Alaska,0,99631,0,0,null,Fairbanks North Star Borough,AK
2100,Alaska,0,2534,0,0,null,Haines Borough,AK
2105,Alaska,null,null,0,0,null,Hoonah-Angoon Census Area,AK
2110,Alaska,null,null,0,0,null,Juneau City and Borough,AK
2122,Alaska,0,58059,0,0,null,Kenai Peninsula Borough,AK
2130,Alaska,0,13709,0,0,null,Ketchikan Gateway Borough,AK
2150,Alaska,0,13889,0,0,null,Kodiak Island Borough,AK
2158,Alaska,null,null,0,0,null,Kusilvak Census Area,AK
2164,Alaska,0,1563,0,0,null,Lake and Peninsula Borough,AK
2170,Alaska,0,101095,0,0,null,Matanuska-Susitna Borough,AK
2180,Alaska,null,null,0,0,null,Nome Census Area,AK
2185,Alaska,0,9687,0,0,null,North Slope Borough,AK
2188,Alaska,0,7752,0,0,null,Northwest Arctic Borough,AK
2195,Alaska,0,3281,0,0,null,Petersburg Census Area,AK
2198,Alaska,null,null,0,0,null,Prince of Wales-Hyder Census Area,AK
2220,Alaska,null,null,0,0,null,Sitka City and Borough,AK
2230,Alaska,null,null,0,0,null,Skagway Municipality,AK
2240,Alaska,null,null,0,0,null,Southeast Fairbanks Census Area,AK
2261,Alaska,null,null,0,0,null,Valdez-Cordova Census Area,AK
2275,Alaska,null,null,0,0,null,Wrangell City and Borough,AK
2282,Alaska,0,613,0,0,null,Yakutat City and Borough,AK
2290,Alaska,null,null,0,0,null,Yukon-Koyukuk Census Area,AK
4001,Arizona,0,71474,0,0,null,Apache County,AZ
4003,Arizona,955.33,126427,120779044,111756025,108.07,Cochise County,AZ
4005,Arizona,982.44,139097,136655128,155631728,87.81,Coconino County,AZ
4007,Arizona,1539.9,53159,81859698,67174098,121.86,Gila County,AZ
4009,Arizona,1415.33,37666,53309638,38664720,137.88,Graham County,AZ
4011,Arizona,2428.51,9529,23141258,21830944,106,Greenlee County,AZ
4012,Arizona,2531.41,20152,51013001,36534994,139.63,La Paz County,AZ
4013,Arizona,680,4167947,2834203888,2499817863,113.38,Maricopa County,AZ
4015,Arizona,692.3,204737,141739557,177481815,79.86,Mohave County,AZ
4017,Arizona,724.88,108277,78488183,82089906,95.61,Navajo County,AZ
4019,Arizona,1950.68,1010025,1970239000,1188854000,165.73,Pima County,AZ
4021,Arizona,1255.68,406584,510538000,351496000,145.25,Pinal County,AZ
4023,Arizona,2065.57,46461,95968259,55147818,174.02,Santa Cruz County,AZ
4025,Arizona,1273.43,222255,283025175,227354606,124.49,Yavapai County,AZ
4027,Arizona,1001.86,204275,204654401,186359700,109.82,Yuma County,AZ
5001,Arkansas,0,18433,0,0,null,Arkansas County,AR
5003,Arkansas,0,20838,0,0,null,Ashley County,AR
5005,Arkansas,34,41053,1395615,21074490,6.62,Baxter County,AR
5007,Arkansas,0,249672,0,0,null,Benton County,AR
5009,Arkansas,0,37222,0,0,null,Boone County,AR
5011,Arkansas,0,11094,0,0,null,Bradley County,AR
5013,Arkansas,58.6,5229,306419,6810362,4.5,Calhoun County,AR
5015,Arkansas,0,27704,0,0,null,Carroll County,AR
5017,Arkansas,53.37,11027,588463,9369472,6.28,Chicot County,AR
5019,Arkansas,0,22633,0,0,null,Clark County,AR
5021,Arkansas,0,15109,0,0,null,Clay County,AR
5023,Arkansas,0,25467,0,0,null,Cleburne County,AR
5025,Arkansas,0,8311,0,0,null,Cleveland County,AR
5027,Arkansas,0,24114,0,0,null,Columbia County,AR
5029,Arkansas,0,21019,0,0,null,Conway County,AR
5031,Arkansas,39.05,104354,4074553,33378012,12.21,Craighead County,AR
5033,Arkansas,31.57,61703,1948162,26669835,7.3,Crawford County,AR
5035,Arkansas,0,48963,0,0,null,Crittenden County,AR
5037,Arkansas,0,17284,0,0,null,Cross County,AR
5039,Arkansas,0,7604,0,0,null,Dallas County,AR
5041,Arkansas,44.88,11965,537016,7435501,7.22,Desha County,AR
5043,Arkansas,58.22,18778,1093229,12720713,8.59,Drew County,AR
5045,Arkansas,0,121552,0,0,null,Faulkner County,AR
5047,Arkansas,0,17702,0,0,null,Franklin County,AR
5049,Arkansas,0,12204,0,0,null,Fulton County,AR
5051,Arkansas,67.98,97177,6606314,71999209,9.18,Garland County,AR
5053,Arkansas,0,18102,0,0,null,Grant County,AR
5055,Arkansas,0,44196,0,0,null,Greene County,AR
5057,Arkansas,0,22084,0,0,null,Hempstead County,AR
5059,Arkansas,0,33426,0,0,null,Hot Spring County,AR
5061,Arkansas,0,13300,0,0,null,Howard County,AR
5063,Arkansas,0,37052,0,0,null,Independence County,AR
5065,Arkansas,0,13445,0,0,null,Izard County,AR
5067,Arkansas,206.86,17338,3586487,10974664,32.68,Jackson County,AR
5069,Arkansas,0,71565,0,0,null,Jefferson County,AR
5071,Arkansas,0,26141,0,0,null,Johnson County,AR
5073,Arkansas,0,6996,0,0,null,Lafayette County,AR
5075,Arkansas,0,16779,0,0,null,Lawrence County,AR
5077,Arkansas,0,9650,0,0,null,Lee County,AR
5079,Arkansas,45.94,13820,634879,7233305,8.78,Lincoln County,AR
5081,Arkansas,34.4,12472,429015,10615894,4.04,Little River County,AR
5083,Arkansas,0,21714,0,0,null,Logan County,AR
5085,Arkansas,42.71,71645,3059864,21899273,13.97,Lonoke County,AR
5087,Arkansas,0,15767,0,0,null,Madison County,AR
5089,Arkansas,0,16185,0,0,null,Marion County,AR
5091,Arkansas,0,43908,0,0,null,Miller County,AR
5093,Arkansas,0,43738,0,0,null,Mississippi County,AR
5095,Arkansas,0,7399,0,0,null,Monroe County,AR
5097,Arkansas,0,8970,0,0,null,Montgomery County,AR
5099,Arkansas,0,8558,0,0,null,Nevada County,AR
5101,Arkansas,0,7913,0,0,null,Newton County,AR
5103,Arkansas,0,24358,0,0,null,Ouachita County,AR
5105,Arkansas,0,10189,0,0,null,Perry County,AR
5107,Arkansas,0,19513,0,0,null,Phillips County,AR
5109,Arkansas,0,10824,0,0,null,Pike County,AR
5111,Arkansas,0,24040,0,0,null,Poinsett County,AR
5113,Arkansas,37.53,20216,758629,11505636,6.59,Polk County,AR
5115,Arkansas,0,63390,0,0,null,Pope County,AR
5117,Arkansas,0,8291,0,0,null,Prairie County,AR
5119,Arkansas,0,392664,0,0,null,Pulaski County,AR
5121,Arkansas,0,17469,0,0,null,Randolph County,AR
5123,Arkansas,0,26589,0,0,null,St. Francis County,AR
5125,Arkansas,0,117460,0,0,null,Saline County,AR
5127,Arkansas,0,10513,0,0,null,Scott County,AR
5129,Arkansas,0,7869,0,0,null,Searcy County,AR
5131,Arkansas,0,127780,0,0,null,Sebastian County,AR
5133,Arkansas,0,17290,0,0,null,Sevier County,AR
5135,Arkansas,0,16912,0,0,null,Sharp County,AR
5137,Arkansas,0,12456,0,0,null,Stone County,AR
5139,Arkansas,0,40144,0,0,null,Union County,AR
5141,Arkansas,0,16771,0,0,null,Van Buren County,AR
5143,Arkansas,0,225477,0,0,null,Washington County,AR
5145,Arkansas,0,79161,0,0,null,White County,AR
5147,Arkansas,0,6741,0,0,null,Woodruff County,AR
5149,Arkansas,33.33,21713,723784,12838653,5.64,Yell County,AR
6001,California,2641.39,1638215,4327169000,3470053000,124.7,Alameda County,CA
6003,California,0,1110,0,0,null,Alpine County,CA
6005,California,2650.32,37001,98064594,92199945,106.36,Amador County,CA
6007,California,2001.44,225411,451146897,705536775,63.94,Butte County,CA
6009,California,2997.81,44828,134385943,115159948,116.7,Calaveras County,CA
6011,California,4055.85,21482,87127800,67728448,128.64,Colusa County,CA
6013,California,2318.06,1126745,2611861000,3738705000,69.86,Contra Costa County,CA
6015,California,5541.99,27254,151041403,72603118,208.04,Del Norte County,CA
6017,California,3264.72,184452,602184135,405923755,148.35,El Dorado County,CA
6019,California,2216.96,974861,2161228000,1757231000,122.99,Fresno County,CA
6021,California,7176.11,28017,201053099,97600058,206,Glenn County,CA
6023,California,0,135727,0,0,null,Humboldt County,CA
6025,California,0,180191,0,0,null,Imperial County,CA
6027,California,0,18260,0,0,null,Inyo County,CA
6029,California,3114.22,882176,2747291000,1848241000,148.64,Kern County,CA
6031,California,1980.9,150965,299045913,284254138,105.2,Kings County,CA
6033,California,2228.06,64591,143912888,182262376,78.96,Lake County,CA
6035,California,2056.77,31345,64469350,78803791,81.81,Lassen County,CA
6037,California,5188.54,10170292,52768946000,29454082000,179.16,Los Angeles County,CA
6039,California,3877.01,154998,600928588,330735960,181.69,Madera County,CA
6041,California,2755.16,261221,719706519,780087679,92.26,Marin County,CA
6043,California,8712.49,17531,152738622,82302870,185.58,Mariposa County,CA
6045,California,3553.96,87649,311501099,285004242,109.3,Mendocino County,CA
6047,California,2873.23,268455,771333463,557126420,138.45,Merced County,CA
